gse_id,gsm_id,source_name_ch1,organism_ch1,supplementary_file_1,tissue
GSE101601,GSM2708880,middle temporal gyrus,Homo sapiens,NONE,middle temporal gyrus
GSE101601,GSM2708881,middle temporal gyrus,Homo sapiens,NONE,middle temporal gyrus
GSE101601,GSM2708882,middle temporal gyrus,Homo sapiens,NONE,middle temporal gyrus
GSE101601,GSM2708883,middle temporal gyrus,Homo sapiens,NONE,middle temporal gyrus
GSE101601,GSM2708884,middle temporal gyrus,Homo sapiens,NONE,middle temporal gyrus
GSE101601,GSM2708885,middle temporal gyrus,Homo sapiens,NONE,middle temporal gyrus
GSE101601,GSM2708886,middle temporal gyrus,Homo sapiens,NONE,middle temporal gyrus
GSE101601,GSM2708887,middle temporal gyrus,Homo sapiens,NONE,middle temporal gyrus
GSE101601,GSM2708888,middle temporal gyrus,Homo sapiens,NONE,middle temporal gyrus
GSE101601,GSM2708889,middle temporal gyrus,Homo sapiens,NONE,middle temporal gyrus
GSE101601,GSM2708890,middle temporal gyrus,Homo sapiens,NONE,middle temporal gyrus
GSE101601,GSM2708891,middle temporal gyrus,Homo sapiens,NONE,middle temporal gyrus
GSE101601,GSM2708892,middle temporal gyrus,Homo sapiens,NONE,middle temporal gyrus
GSE101601,GSM2708893,middle temporal gyrus,Homo sapiens,NONE,middle temporal gyrus
GSE101601,GSM2708894,middle temporal gyrus,Homo sapiens,NONE,middle temporal gyrus
GSE101601,GSM2708895,middle temporal gyrus,Homo sapiens,NONE,middle temporal gyrus
GSE101601,GSM2708896,middle temporal gyrus,Homo sapiens,NONE,middle temporal gyrus
GSE101601,GSM2708897,middle temporal gyrus,Homo sapiens,NONE,middle temporal gyrus
GSE101601,GSM2708898,middle temporal gyrus,Homo sapiens,NONE,middle temporal gyrus
GSE101601,GSM2708899,middle temporal gyrus,Homo sapiens,NONE,middle temporal gyrus
GSE101601,GSM2708900,middle temporal gyrus,Homo sapiens,NONE,middle temporal gyrus
GSE101601,GSM2708901,middle temporal gyrus,Homo sapiens,NONE,middle temporal gyrus
GSE101601,GSM2708902,middle temporal gyrus,Homo sapiens,NONE,middle temporal gyrus
GSE101601,GSM2708903,middle temporal gyrus,Homo sapiens,NONE,middle temporal gyrus
GSE101601,GSM2708904,middle temporal gyrus,Homo sapiens,NONE,middle temporal gyrus
GSE101601,GSM2708905,middle temporal gyrus,Homo sapiens,NONE,middle temporal gyrus
GSE101601,GSM2708906,middle temporal gyrus,Homo sapiens,NONE,middle temporal gyrus
GSE101601,GSM2708907,middle temporal gyrus,Homo sapiens,NONE,middle temporal gyrus
GSE101601,GSM2708908,middle temporal gyrus,Homo sapiens,NONE,middle temporal gyrus
GSE101601,GSM2708909,middle temporal gyrus,Homo sapiens,NONE,middle temporal gyrus
GSE101601,GSM2708910,middle temporal gyrus,Homo sapiens,NONE,middle temporal gyrus
GSE101601,GSM2708911,middle temporal gyrus,Homo sapiens,NONE,middle temporal gyrus
GSE101601,GSM2708912,middle temporal gyrus,Homo sapiens,NONE,middle temporal gyrus
GSE101601,GSM2708913,middle temporal gyrus,Homo sapiens,NONE,middle temporal gyrus
GSE101601,GSM2708914,middle temporal gyrus,Homo sapiens,NONE,middle temporal gyrus
GSE101601,GSM2708915,middle temporal gyrus,Homo sapiens,NONE,middle temporal gyrus
GSE101601,GSM2708916,middle temporal gyrus,Homo sapiens,NONE,middle temporal gyrus
GSE101601,GSM2708917,middle temporal gyrus,Homo sapiens,NONE,middle temporal gyrus
GSE101601,GSM2708918,middle temporal gyrus,Homo sapiens,NONE,middle temporal gyrus
GSE101601,GSM2708919,middle temporal gyrus,Homo sapiens,NONE,middle temporal gyrus
GSE101601,GSM2708920,middle temporal gyrus,Homo sapiens,NONE,middle temporal gyrus
GSE101601,GSM2708921,middle temporal gyrus,Homo sapiens,NONE,middle temporal gyrus
GSE101601,GSM2708922,middle temporal gyrus,Homo sapiens,NONE,middle temporal gyrus
GSE101601,GSM2708923,middle temporal gyrus,Homo sapiens,NONE,middle temporal gyrus
GSE101601,GSM2708924,middle temporal gyrus,Homo sapiens,NONE,middle temporal gyrus
GSE101601,GSM2708925,middle temporal gyrus,Homo sapiens,NONE,middle temporal gyrus
GSE101601,GSM2708926,middle temporal gyrus,Homo sapiens,NONE,middle temporal gyrus
GSE101601,GSM2708927,middle temporal gyrus,Homo sapiens,NONE,middle temporal gyrus
GSE101601,GSM2708928,middle temporal gyrus,Homo sapiens,NONE,middle temporal gyrus
GSE101601,GSM2708929,middle temporal gyrus,Homo sapiens,NONE,middle temporal gyrus
GSE101601,GSM2708930,middle temporal gyrus,Homo sapiens,NONE,middle temporal gyrus
GSE101601,GSM2708931,middle temporal gyrus,Homo sapiens,NONE,middle temporal gyrus
GSE101601,GSM2708932,middle temporal gyrus,Homo sapiens,NONE,middle temporal gyrus
GSE101601,GSM2708933,middle temporal gyrus,Homo sapiens,NONE,middle temporal gyrus
GSE101601,GSM2708934,middle temporal gyrus,Homo sapiens,NONE,middle temporal gyrus
GSE101601,GSM2708935,middle temporal gyrus,Homo sapiens,NONE,middle temporal gyrus
GSE101601,GSM2708936,middle temporal gyrus,Homo sapiens,NONE,middle temporal gyrus
GSE101601,GSM2708937,middle temporal gyrus,Homo sapiens,NONE,middle temporal gyrus
GSE101601,GSM2708938,middle temporal gyrus,Homo sapiens,NONE,middle temporal gyrus
GSE101601,GSM2708939,middle temporal gyrus,Homo sapiens,NONE,middle temporal gyrus
GSE101601,GSM2708940,middle temporal gyrus,Homo sapiens,NONE,middle temporal gyrus
GSE101601,GSM2708941,middle temporal gyrus,Homo sapiens,NONE,middle temporal gyrus
GSE101601,GSM2708942,middle temporal gyrus,Homo sapiens,NONE,middle temporal gyrus
GSE101601,GSM2708943,middle temporal gyrus,Homo sapiens,NONE,middle temporal gyrus
GSE101601,GSM2708944,middle temporal gyrus,Homo sapiens,NONE,middle temporal gyrus
GSE101601,GSM2708945,middle temporal gyrus,Homo sapiens,NONE,middle temporal gyrus
GSE101601,GSM2708946,middle temporal gyrus,Homo sapiens,NONE,middle temporal gyrus
