gse_id,gsm_id,source_name_ch1,organism_ch1,supplementary_file_1,brain_region,reporter
GSE71585,GSM1840434,Primary visual cortex,Mus musculus,NONE,VISp,NA
GSE71585,GSM1840436,Primary visual cortex,Mus musculus,NONE,VISp,NA
GSE71585,GSM1840441,Primary visual cortex,Mus musculus,NONE,VISp,NA
GSE71585,GSM1840445,Primary visual cortex,Mus musculus,NONE,VISp,NA
GSE71585,GSM1840447,Primary visual cortex,Mus musculus,NONE,VISp,NA
GSE71585,GSM1840448,Primary visual cortex,Mus musculus,NONE,VISp,NA
GSE71585,GSM1840449,Primary visual cortex,Mus musculus,NONE,VISp,NA
GSE71585,GSM1840450,Primary visual cortex,Mus musculus,NONE,VISp,NA
GSE71585,GSM1840451,Primary visual cortex,Mus musculus,NONE,VISp,NA
GSE71585,GSM1840452,Primary visual cortex,Mus musculus,NONE,VISp,NA
GSE71585,GSM1840453,Primary visual cortex,Mus musculus,NONE,VISp,NA
GSE71585,GSM1840454,Primary visual cortex,Mus musculus,NONE,VISp,NA
GSE71585,GSM1840455,Primary visual cortex,Mus musculus,NONE,VISp,NA
GSE71585,GSM1840457,Primary visual cortex,Mus musculus,NONE,VISp,NA
GSE71585,GSM1840458,Primary visual cortex,Mus musculus,NONE,VISp,NA
GSE71585,GSM1840460,Primary visual cortex,Mus musculus,NONE,VISp,NA
GSE71585,GSM1840461,Primary visual cortex,Mus musculus,NONE,VISp,NA
GSE71585,GSM1840462,Primary visual cortex,Mus musculus,NONE,VISp,NA
GSE71585,GSM1840465,Primary visual cortex,Mus musculus,NONE,VISp,NA
GSE71585,GSM1840466,Primary visual cortex,Mus musculus,NONE,VISp,NA
GSE71585,GSM1840467,Primary visual cortex,Mus musculus,NONE,VISp,NA
GSE71585,GSM1840468,Primary visual cortex,Mus musculus,NONE,VISp,NA
GSE71585,GSM1840469,Primary visual cortex,Mus musculus,NONE,VISp,NA
GSE71585,GSM1840470,Primary visual cortex,Mus musculus,NONE,VISp,NA
GSE71585,GSM1840471,Primary visual cortex,Mus musculus,NONE,VISp,NA
GSE71585,GSM1840472,Primary visual cortex,Mus musculus,NONE,VISp,NA
GSE71585,GSM1840473,Primary visual cortex,Mus musculus,NONE,VISp,NA
GSE71585,GSM1840474,Primary visual cortex,Mus musculus,NONE,VISp,NA
GSE71585,GSM1840475,Primary visual cortex,Mus musculus,NONE,VISp,NA
GSE71585,GSM1840476,Primary visual cortex,Mus musculus,NONE,VISp,NA
GSE71585,GSM1840477,Primary visual cortex,Mus musculus,NONE,VISp,NA
GSE71585,GSM1840478,Primary visual cortex,Mus musculus,NONE,VISp,NA
GSE71585,GSM1840479,Primary visual cortex,Mus musculus,NONE,VISp,NA
GSE71585,GSM1840482,Primary visual cortex,Mus musculus,NONE,VISp,NA
GSE71585,GSM1840484,Primary visual cortex,Mus musculus,NONE,VISp,NA
GSE71585,GSM1840485,Primary visual cortex,Mus musculus,NONE,VISp,NA
GSE71585,GSM1840486,Primary visual cortex,Mus musculus,NONE,VISp,NA
GSE71585,GSM1840487,Primary visual cortex,Mus musculus,NONE,VISp,NA
GSE71585,GSM1840488,Primary visual cortex,Mus musculus,NONE,VISp,NA
GSE71585,GSM1840489,Primary visual cortex,Mus musculus,NONE,VISp,NA
GSE71585,GSM1840490,Primary visual cortex,Mus musculus,NONE,VISp,NA
GSE71585,GSM1840491,Primary visual cortex,Mus musculus,NONE,VISp,NA
GSE71585,GSM1840492,Primary visual cortex,Mus musculus,NONE,VISp,NA
GSE71585,GSM1840508,Primary visual cortex,Mus musculus,NONE,VISp,NA
GSE71585,GSM1840509,Primary visual cortex,Mus musculus,NONE,VISp,NA
GSE71585,GSM1840510,Primary visual cortex,Mus musculus,NONE,VISp,NA
GSE71585,GSM1840511,Primary visual cortex,Mus musculus,NONE,VISp,NA
GSE71585,GSM1840512,Primary visual cortex,Mus musculus,NONE,VISp,NA
GSE71585,GSM1840513,Primary visual cortex,Mus musculus,NONE,VISp,NA
GSE71585,GSM1840515,Primary visual cortex,Mus musculus,NONE,VISp,NA
GSE71585,GSM1840516,Primary visual cortex,Mus musculus,NONE,VISp,NA
GSE71585,GSM1840517,Primary visual cortex,Mus musculus,NONE,VISp,NA
GSE71585,GSM1840518,Primary visual cortex,Mus musculus,NONE,VISp,NA
GSE71585,GSM1840519,Primary visual cortex,Mus musculus,NONE,VISp,NA
GSE71585,GSM1840520,Primary visual cortex,Mus musculus,NONE,VISp,NA
GSE71585,GSM1840521,Primary visual cortex,Mus musculus,NONE,VISp,NA
GSE71585,GSM1840522,Primary visual cortex,Mus musculus,NONE,VISp,NA
GSE71585,GSM1840523,Primary visual cortex,Mus musculus,NONE,VISp,NA
GSE71585,GSM1840524,Primary visual cortex,Mus musculus,NONE,VISp,NA
GSE71585,GSM1840525,Primary visual cortex,Mus musculus,NONE,VISp,NA
GSE71585,GSM1840526,Primary visual cortex,Mus musculus,NONE,VISp,NA
GSE71585,GSM1840527,Primary visual cortex,Mus musculus,NONE,VISp,NA
GSE71585,GSM1840528,Primary visual cortex,Mus musculus,NONE,VISp,NA
GSE71585,GSM1840529,Primary visual cortex,Mus musculus,NONE,VISp,NA
GSE71585,GSM1840530,Primary visual cortex,Mus musculus,NONE,VISp,NA
GSE71585,GSM1840531,Primary visual cortex,Mus musculus,NONE,VISp,NA
GSE71585,GSM1840532,Primary visual cortex,Mus musculus,NONE,VISp,NA
GSE71585,GSM1840533,Primary visual cortex,Mus musculus,NONE,VISp,NA
GSE71585,GSM1840534,Primary visual cortex,Mus musculus,NONE,VISp,NA
GSE71585,GSM1840535,Primary visual cortex,Mus musculus,NONE,VISp,NA
GSE71585,GSM1840536,Primary visual cortex,Mus musculus,NONE,VISp,NA
GSE71585,GSM1840537,Primary visual cortex,Mus musculus,NONE,VISp,NA
GSE71585,GSM1840538,Primary visual cortex,Mus musculus,NONE,VISp,NA
GSE71585,GSM1840539,Primary visual cortex,Mus musculus,NONE,VISp,NA
GSE71585,GSM1840540,Primary visual cortex,Mus musculus,NONE,VISp,NA
GSE71585,GSM1840541,Primary visual cortex,Mus musculus,NONE,VISp,NA
GSE71585,GSM1840542,Primary visual cortex,Mus musculus,NONE,VISp,NA
GSE71585,GSM1840543,Primary visual cortex,Mus musculus,NONE,VISp,NA
