gse_id,gsm_id,source_name_ch1,organism_ch1,supplementary_file_1,tissue,gender
GSE117891,GSM3314603,Brain,Homo sapiens,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3314nnn/GSM3314603/suppl/GSM3314603_S15P4.UMI_count.tsv.gz,Brain,male
GSE117891,GSM3314604,Brain,Homo sapiens,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3314nnn/GSM3314604/suppl/GSM3314604_S15P5.UMI_count.tsv.gz,Brain,male
GSE117891,GSM3314605,Brain,Homo sapiens,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3314nnn/GSM3314605/suppl/GSM3314605_S1P1_2.UMI_count.tsv.gz,Brain,female
GSE117891,GSM3314606,Brain,Homo sapiens,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3314nnn/GSM3314606/suppl/GSM3314606_S1P2_2.UMI_count.tsv.gz,Brain,female
GSE117891,GSM3314607,Brain,Homo sapiens,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3314nnn/GSM3314607/suppl/GSM3314607_S1P3_2.UMI_count.tsv.gz,Brain,female
GSE117891,GSM3314608,Brain,Homo sapiens,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3314nnn/GSM3314608/suppl/GSM3314608_S1P4_2.UMI_count.tsv.gz,Brain,female
GSE117891,GSM3314609,Brain,Homo sapiens,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3314nnn/GSM3314609/suppl/GSM3314609_S1P5_2.UMI_count.tsv.gz,Brain,female
GSE117891,GSM3314610,Brain,Homo sapiens,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3314nnn/GSM3314610/suppl/GSM3314610_S1P6_2.UMI_count.tsv.gz,Brain,female
GSE117891,GSM3314611,Brain,Homo sapiens,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3314nnn/GSM3314611/suppl/GSM3314611_S1P7_2.UMI_count.tsv.gz,Brain,female
GSE117891,GSM3314612,Brain,Homo sapiens,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3314nnn/GSM3314612/suppl/GSM3314612_S1P8_2.UMI_count.tsv.gz,Brain,female
GSE117891,GSM3314613,Brain,Homo sapiens,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3314nnn/GSM3314613/suppl/GSM3314613_S2P2_2.UMI_count.tsv.gz,Brain,male
GSE117891,GSM3314614,Brain,Homo sapiens,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3314nnn/GSM3314614/suppl/GSM3314614_S2P3_2.UMI_count.tsv.gz,Brain,male
GSE117891,GSM3314615,Brain,Homo sapiens,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3314nnn/GSM3314615/suppl/GSM3314615_S3P4_2.UMI_count.tsv.gz,Brain,female
GSE117891,GSM3314616,Brain,Homo sapiens,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3314nnn/GSM3314616/suppl/GSM3314616_S5P2_2.UMI_count.tsv.gz,Brain,female
GSE117891,GSM3314617,Brain,Homo sapiens,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3314nnn/GSM3314617/suppl/GSM3314617_S5P2_3.UMI_count.tsv.gz,Brain,female
GSE117891,GSM3314618,Brain,Homo sapiens,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3314nnn/GSM3314618/suppl/GSM3314618_S5P3_2.UMI_count.tsv.gz,Brain,female
GSE117891,GSM3314619,Brain,Homo sapiens,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3314nnn/GSM3314619/suppl/GSM3314619_S6P5_2.UMI_count.tsv.gz,Brain,male
GSE117891,GSM3314620,Brain,Homo sapiens,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3314nnn/GSM3314620/suppl/GSM3314620_S6P5_3.UMI_count.tsv.gz,Brain,male
GSE117891,GSM3314621,Brain,Homo sapiens,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3314nnn/GSM3314621/suppl/GSM3314621_S6P5_4.UMI_count.tsv.gz,Brain,male
GSE117891,GSM3314622,Brain,Homo sapiens,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3314nnn/GSM3314622/suppl/GSM3314622_S7P1_2.UMI_count.tsv.gz,Brain,male
GSE117891,GSM3314623,Brain,Homo sapiens,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3314nnn/GSM3314623/suppl/GSM3314623_S7P3_2.UMI_count.tsv.gz,Brain,male
GSE117891,GSM3314624,Brain,Homo sapiens,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3314nnn/GSM3314624/suppl/GSM3314624_S7P4_2.UMI_count.tsv.gz,Brain,male
GSE117891,GSM3314625,Brain,Homo sapiens,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3314nnn/GSM3314625/suppl/GSM3314625_S7P4_3.UMI_count.tsv.gz,Brain,male
GSE117891,GSM3314626,Brain,Homo sapiens,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3314nnn/GSM3314626/suppl/GSM3314626_S7P5_2.UMI_count.tsv.gz,Brain,male
GSE117891,GSM3314627,Brain,Homo sapiens,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3314nnn/GSM3314627/suppl/GSM3314627_S8P1_2.UMI_count.tsv.gz,Brain,male
GSE117891,GSM3314628,Brain,Homo sapiens,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3314nnn/GSM3314628/suppl/GSM3314628_S8P1_3.UMI_count.tsv.gz,Brain,male
GSE117891,GSM3314629,Brain,Homo sapiens,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3314nnn/GSM3314629/suppl/GSM3314629_S8P4_2.UMI_count.tsv.gz,Brain,male
GSE117891,GSM3314630,Brain,Homo sapiens,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3314nnn/GSM3314630/suppl/GSM3314630_S9P1_2.UMI_count.tsv.gz,Brain,male
GSE117891,GSM3314631,Brain,Homo sapiens,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3314nnn/GSM3314631/suppl/GSM3314631_S9P1_3.UMI_count.tsv.gz,Brain,male
GSE117891,GSM3314632,Brain,Homo sapiens,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3314nnn/GSM3314632/suppl/GSM3314632_S9P2_2.UMI_count.tsv.gz,Brain,male
GSE117891,GSM3314633,Brain,Homo sapiens,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3314nnn/GSM3314633/suppl/GSM3314633_S9P3_2.UMI_count.tsv.gz,Brain,male
GSE117891,GSM3314634,Brain,Homo sapiens,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3314nnn/GSM3314634/suppl/GSM3314634_S11P2_2.UMI_count.tsv.gz,Brain,male
GSE117891,GSM3314635,Brain,Homo sapiens,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3314nnn/GSM3314635/suppl/GSM3314635_S11P4_2.UMI_count.tsv.gz,Brain,male
GSE117891,GSM3314636,Brain,Homo sapiens,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3314nnn/GSM3314636/suppl/GSM3314636_S11P5_2.UMI_count.tsv.gz,Brain,male
GSE117891,GSM3314637,Brain,Homo sapiens,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3314nnn/GSM3314637/suppl/GSM3314637_S11P5_3.UMI_count.tsv.gz,Brain,male
GSE117891,GSM3314638,Brain,Homo sapiens,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3314nnn/GSM3314638/suppl/GSM3314638_S11P5_4.UMI_count.tsv.gz,Brain,male
GSE117891,GSM3314639,Brain,Homo sapiens,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3314nnn/GSM3314639/suppl/GSM3314639_S11P5_5.UMI_count.tsv.gz,Brain,male
GSE117891,GSM3314640,Brain,Homo sapiens,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3314nnn/GSM3314640/suppl/GSM3314640_S11P5_6.UMI_count.tsv.gz,Brain,male
GSE117891,GSM3314641,Brain,Homo sapiens,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3314nnn/GSM3314641/suppl/GSM3314641_S11P5_7.UMI_count.tsv.gz,Brain,male
GSE117891,GSM3314642,Brain,Homo sapiens,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3314nnn/GSM3314642/suppl/GSM3314642_S11P6_2.UMI_count.tsv.gz,Brain,male
GSE117891,GSM3314643,Brain,Homo sapiens,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3314nnn/GSM3314643/suppl/GSM3314643_S11P6_3.UMI_count.tsv.gz,Brain,male
