gse_id,gsm_id,source_name_ch1,organism_ch1,supplementary_file_1,age
GSE104323,GSM2795385,dentate gyrus,Mus musculus,NONE,P19
GSE104323,GSM2795386,dentate gyrus,Mus musculus,NONE,P19
GSE104323,GSM2795387,dentate gyrus,Mus musculus,NONE,P19
GSE104323,GSM2795388,dentate gyrus,Mus musculus,NONE,P19
GSE104323,GSM2795389,dentate gyrus,Mus musculus,NONE,P19
GSE104323,GSM2795390,dentate gyrus,Mus musculus,NONE,P19
GSE104323,GSM2795391,dentate gyrus,Mus musculus,NONE,P23
GSE104323,GSM2795392,dentate gyrus,Mus musculus,NONE,P23
GSE104323,GSM2795393,dentate gyrus,Mus musculus,NONE,P23
GSE104323,GSM2795394,dentate gyrus,Mus musculus,NONE,P23
GSE104323,GSM2795395,dentate gyrus,Mus musculus,NONE,P23
GSE104323,GSM2795396,dentate gyrus,Mus musculus,NONE,P23
GSE104323,GSM2795397,dentate gyrus,Mus musculus,NONE,P23
GSE104323,GSM2795398,dentate gyrus,Mus musculus,NONE,P23
GSE104323,GSM2795399,dentate gyrus,Mus musculus,NONE,P23
GSE104323,GSM2795400,dentate gyrus,Mus musculus,NONE,P23
GSE104323,GSM2795401,dentate gyrus,Mus musculus,NONE,P23
GSE104323,GSM2795402,dentate gyrus,Mus musculus,NONE,P23
GSE104323,GSM2795403,dentate gyrus,Mus musculus,NONE,P23
GSE104323,GSM2795404,dentate gyrus,Mus musculus,NONE,P23
GSE104323,GSM2795405,dentate gyrus,Mus musculus,NONE,P23
GSE104323,GSM2795406,dentate gyrus,Mus musculus,NONE,P23
GSE104323,GSM2795407,dentate gyrus,Mus musculus,NONE,P23
GSE104323,GSM2795408,dentate gyrus,Mus musculus,NONE,P23
GSE104323,GSM2795409,dentate gyrus,Mus musculus,NONE,P23
GSE104323,GSM2795410,dentate gyrus,Mus musculus,NONE,P23
GSE104323,GSM2795411,dentate gyrus,Mus musculus,NONE,P23
GSE104323,GSM2795412,dentate gyrus,Mus musculus,NONE,P23
GSE104323,GSM2795413,dentate gyrus,Mus musculus,NONE,P23
GSE104323,GSM2795414,dentate gyrus,Mus musculus,NONE,P23
GSE104323,GSM2795415,dentate gyrus,Mus musculus,NONE,P23
GSE104323,GSM2795416,dentate gyrus,Mus musculus,NONE,P23
GSE104323,GSM2795417,dentate gyrus,Mus musculus,NONE,P23
GSE104323,GSM2795418,dentate gyrus,Mus musculus,NONE,P23
GSE104323,GSM2795419,dentate gyrus,Mus musculus,NONE,P23
GSE104323,GSM2795420,dentate gyrus,Mus musculus,NONE,P23
GSE104323,GSM2795421,dentate gyrus,Mus musculus,NONE,P23
GSE104323,GSM2795422,dentate gyrus,Mus musculus,NONE,P5
GSE104323,GSM2795423,dentate gyrus,Mus musculus,NONE,P5
GSE104323,GSM2795424,dentate gyrus,Mus musculus,NONE,P5
GSE104323,GSM2795425,dentate gyrus,Mus musculus,NONE,P5
GSE104323,GSM2795426,dentate gyrus,Mus musculus,NONE,P5
GSE104323,GSM2795427,dentate gyrus,Mus musculus,NONE,P5
GSE104323,GSM2795428,dentate gyrus,Mus musculus,NONE,P5
GSE104323,GSM2795429,dentate gyrus,Mus musculus,NONE,P5
GSE104323,GSM2795430,dentate gyrus,Mus musculus,NONE,P5
GSE104323,GSM2795431,dentate gyrus,Mus musculus,NONE,P5
GSE104323,GSM2795432,dentate gyrus,Mus musculus,NONE,P5
GSE104323,GSM2795433,dentate gyrus,Mus musculus,NONE,P5
GSE104323,GSM2795434,dentate gyrus,Mus musculus,NONE,P5
GSE104323,GSM2795435,dentate gyrus,Mus musculus,NONE,P5
GSE104323,GSM2795436,dentate gyrus,Mus musculus,NONE,P5
GSE104323,GSM2795437,dentate gyrus,Mus musculus,NONE,P5
